Термин,Определение,Категория,Источник
AI,See: Artificial Intelligence.,Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#ai
Algorithm,"A set of instructions (frequently Mathematical in nature), written down as a series of steps, which are generally iterated through many times in order to achieve some task or find some result. Computers are good at running algorithms.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#algorithm
Analysis,"Analysis is a word used in many contexts. Formally it means the breaking down of something (normally something complex) into smaller and simpler constituent parts, each of which may be studied more easily, allowing insight (small ‘i’) to the more complex whole to be obtained. The word itself comes from the Greek, ἀνάλυσις (análusis, “a breaking up”, from ana- “up, throughout” and lusis “a loosening”).",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#analysis
Analysis Facility,"Analysis Facility is a high-level term used to describe a packaged up combination of tools and Data necessary to carry out specific sets of Analyses. Such a facility might include a selection of the following: analysis tools such as OLAP Cubes, Data Visualisation capabilities and maybe just linked Excel spreadsheets; Query / data extraction tools (like SQL or Pig), programming languages / environments (like R or Python) and the data which they will all access, most likely pre-formatted and consolidated to make working with it easier.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#analysis-facility
Analytical Repository,"A Data Repository which forms a major part of a modern Data Architecture and is focussed on supporting the generation of Insight (cf. an Operational Repository, which is focussed on supporting the generation of Information). An Analytical Repository will hold a wide variety of both internally and externally sourced data, often in raw form, but sometimes also Curated.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#analytical-repository
Analytics,"Deriving Insights from Data which are generally beyond the purpose for which the Data was originally captured  – to be contrasted with Information which relates to the meaning inherent in Data (i.e. the reason that it was captured in the first place). Analytics often employ advanced statistical techniques (logistic regression, multivariate regression, time series analysis etc.) to derive meaning from Data.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#analytics
Anomaly Detection (Outlier Detection),"Techniques, used in Data Mining and elsewhere, for identifying points in a set of Data that do not conform to the general characteristics of the rest of the Data. A classic example would be detecting fraudulent transactions amongst the overwhelmingly larger number of legitimate transactions processed by a bank or credit card company. More seriously it could be identifying which of a number of photographs of chronic skin lesions could instead be a malignant tumour. Equally the objective could be to discard anomalous Data that is otherwise skewing a population (e.g. the one multi-billionaire in a sample of 5,000 people).",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#anomaly-detection
Anonymisation,"Anonymisation is one approach to ensuring the Protection of Personal Data. The term drives from “anonym”, which means “no name” in Greek.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#anonymisation
Python,A Open Source programming language that is often the tool of choice for Data Scientists manipulating large Data sets. Some reasons for this include its ease of use and its extensive libraries of statistical capabilities.,Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#python
API,See: Application Programming Interface.,Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#api
Application Programming Interface (API),"An Application Programming Interface is a way for two pieces of code (whole applications or components) to interact. This will consist of a set of rules that tell the developer of a computer programme how get another piece of code (whose internal logic is not necessarily accessible to the developer, i.e. a “black box”) to do something. The API will tell a user what requests they can make of the code, how to make them and what they can expect in return.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#application-programming-interface
Artificial Intelligence (AI),"A scientific discipline devoted to the in silico creation of cognitive agents which mimic (or exceed) the behaviour of self-aware systems (such as humans). Milestones in AI include beating humans at Chess (IBM Deep Blue 1996), Jeopardy (IBM Watson 2011) and Go (Google AlphaGo 2016). Self-driving cars are another current example of AI in action.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#artificial-intelligence
Artificial Intelligence Platform,A class of software that wraps AI capabilities in a user interface that allows them to be leveraged by people who do not have a PhD in the field. Some such platforms will also support non-AI statistical approaches such as Linear Regression. Others attempt to make what is sometimes a “black box” process more transparent and thus auditable. AI Platforms will also typically have built in Data Visualisation capabilities.,Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#ai-platform
BA,See Business Analyst.,Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#ba
Bar Chart,See Chart.,Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#bar-chart
Bayes’ Theorem (Bayesian Inference / Bayesian Network),"A form of Bayes’ Theorem was proved by the Reverend Thomas Bayes at some point in the late 1750s (he never published his work, which only came to light after his death in 1761). It is a theorem in Probability Theory and relates to the probability of some event, , occurring, given that some other event, , has occurred. This is called conditional probability. A statement of Bayes’ Theorem in Mathematical language is:",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#bayes-theorem
Behavioural Analytics,"A discipline focussed on how users interact with mobile applications and web-sites in order to anticipate and meet their future wants and needs. A very basic example is a web grocer reminding you to purchase items that you generally buy, but which are not in your current shopping basket. Slightly more advanced would be an online store suggesting  items that you might be interested in, based on those you have both looked at and purchased historically (“if you liked X, you might like Y”; “people who bought W, also bought Z” etc.). Behavioural Analytics can also help to better design web-sites so that people reaching them as a result of searching for a product have this prominently displayed to them.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#behavioural-analytics
Big Data,A suite of Open Source technologies (clustered around the Apache Hadoop platform) which leverage multiple commodity servers to spread the load of storing and processing very large Data sets (such as those created by the Internet of Things) and provide a range of tools and software that support advanced statistical analysis. These servers can be on-premises or cloud-based with associated security. Big Data technologies are particularly adept at handling Unstructured Data.,Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#big-data
Big Table,"Google’s proprietary distributed Database platform, which underpins Gmail, Google Maps, YouTube and many other well-known services. It is the precursor to Big Data technologies and Hadoop in particular.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#big-table
